run,tag,step,value
2.8,minisat,0,56.0
2.8,minisat,1,56.0
2.8,minisat,2,56.0
2.8,minisat,3,56.0
2.8,minisat,4,56.0
2.8,minisat,5,56.0
2.8,minisat,6,56.0
2.8,minisat,7,56.0
2.8,minisat,8,56.0
2.8,minisat,9,56.0
2.8,random,0,47.0
2.8,random,1,51.0
2.8,random,2,47.0
2.8,random,3,48.0
2.8,random,4,47.0
2.8,random,5,49.0
2.8,random,6,46.0
2.8,random,7,49.0
2.8,random,8,51.0
2.8,random,9,47.0
2.8,rnn,0,46.0
2.8,rnn,1,53.0
2.8,rnn,2,51.0
2.8,rnn,3,55.0
2.8,rnn,4,49.0
2.8,rnn,5,50.0
2.8,rnn,6,52.0
2.8,rnn,7,53.0
2.8,rnn,8,50.0
2.8,rnn,9,48.0
2.8,rnn_gb,0,52.0
2.8,rnn_gb,1,53.0
2.8,rnn_gb,2,53.0
2.8,rnn_gb,3,52.0
2.8,rnn_gb,4,50.0
2.8,rnn_gb,5,52.0
2.8,rnn_gb,6,52.0
2.8,rnn_gb,7,53.0
2.8,rnn_gb,8,53.0
2.8,rnn_gb,9,51.0
2.8,rnn_sb,0,54.0
2.8,rnn_sb,1,53.0
2.8,rnn_sb,2,53.0
2.8,rnn_sb,3,55.0
2.8,rnn_sb,4,51.0
2.8,rnn_sb,5,52.0
2.8,rnn_sb,6,52.0
2.8,rnn_sb,7,53.0
2.8,rnn_sb,8,53.0
2.8,rnn_sb,9,51.0
3.0,minisat,10,60.0
3.0,minisat,11,60.0
3.0,minisat,12,60.0
3.0,minisat,13,60.0
3.0,minisat,14,60.0
3.0,minisat,15,60.0
3.0,minisat,16,60.0
3.0,minisat,17,60.0
3.0,minisat,18,60.0
3.0,minisat,19,60.0
3.0,random,10,53.0
3.0,random,11,56.0
3.0,random,12,51.0
3.0,random,13,51.0
3.0,random,14,49.0
3.0,random,15,55.0
3.0,random,16,51.0
3.0,random,17,56.0
3.0,random,18,55.0
3.0,random,19,50.0
3.0,rnn,10,55.0
3.0,rnn,11,51.0
3.0,rnn,12,52.0
3.0,rnn,13,57.0
3.0,rnn,14,53.0
3.0,rnn,15,55.0
3.0,rnn,16,50.0
3.0,rnn,17,51.0
3.0,rnn,18,49.0
3.0,rnn,19,55.0
3.0,rnn_gb,10,55.0
3.0,rnn_gb,11,56.0
3.0,rnn_gb,12,54.0
3.0,rnn_gb,13,57.0
3.0,rnn_gb,14,56.0
3.0,rnn_gb,15,54.0
3.0,rnn_gb,16,59.0
3.0,rnn_gb,17,59.0
3.0,rnn_gb,18,59.0
3.0,rnn_gb,19,57.0
3.0,rnn_sb,10,58.0
3.0,rnn_sb,11,56.0
3.0,rnn_sb,12,54.0
3.0,rnn_sb,13,57.0
3.0,rnn_sb,14,56.0
3.0,rnn_sb,15,54.0
3.0,rnn_sb,16,55.0
3.0,rnn_sb,17,53.0
3.0,rnn_sb,18,58.0
3.0,rnn_sb,19,57.0
3.2,minisat,20,64.0
3.2,minisat,21,64.0
3.2,minisat,22,64.0
3.2,minisat,23,64.0
3.2,minisat,24,64.0
3.2,minisat,25,64.0
3.2,minisat,26,64.0
3.2,minisat,27,64.0
3.2,minisat,28,64.0
3.2,minisat,29,64.0
3.2,random,20,59.0
3.2,random,21,55.0
3.2,random,22,55.0
3.2,random,23,59.0
3.2,random,24,57.0
3.2,random,25,57.0
3.2,random,26,56.0
3.2,random,27,54.0
3.2,random,28,58.0
3.2,random,29,56.0
3.2,rnn,20,55.0
3.2,rnn,21,59.0
3.2,rnn,22,58.0
3.2,rnn,23,50.0
3.2,rnn,24,55.0
3.2,rnn,25,51.0
3.2,rnn,26,55.0
3.2,rnn,27,49.0
3.2,rnn,28,59.0
3.2,rnn,29,60.0
3.2,rnn_gb,20,56.0
3.2,rnn_gb,21,60.0
3.2,rnn_gb,22,59.0
3.2,rnn_gb,23,60.0
3.2,rnn_gb,24,59.0
3.2,rnn_gb,25,56.0
3.2,rnn_gb,26,58.0
3.2,rnn_gb,27,59.0
3.2,rnn_gb,28,58.0
3.2,rnn_gb,29,61.0
3.2,rnn_sb,20,50.0
3.2,rnn_sb,21,60.0
3.2,rnn_sb,22,60.0
3.2,rnn_sb,23,54.0
3.2,rnn_sb,24,57.0
3.2,rnn_sb,25,58.0
3.2,rnn_sb,26,55.0
3.2,rnn_sb,27,59.0
3.2,rnn_sb,28,59.0
3.2,rnn_sb,29,61.0
3.4,minisat,30,68.0
3.4,minisat,31,68.0
3.4,minisat,32,68.0
3.4,minisat,33,68.0
3.4,minisat,34,68.0
3.4,minisat,35,68.0
3.4,minisat,36,68.0
3.4,minisat,37,68.0
3.4,minisat,38,68.0
3.4,minisat,39,68.0
3.4,random,30,58.0
3.4,random,31,61.0
3.4,random,32,62.0
3.4,random,33,54.0
3.4,random,34,61.0
3.4,random,35,63.0
3.4,random,36,58.0
3.4,random,37,60.0
3.4,random,38,53.0
3.4,random,39,64.0
3.4,rnn,30,63.0
3.4,rnn,31,60.0
3.4,rnn,32,63.0
3.4,rnn,33,60.0
3.4,rnn,34,60.0
3.4,rnn,35,57.0
3.4,rnn,36,61.0
3.4,rnn,37,61.0
3.4,rnn,38,60.0
3.4,rnn,39,61.0
3.4,rnn_gb,30,64.0
3.4,rnn_gb,31,63.0
3.4,rnn_gb,32,64.0
3.4,rnn_gb,33,62.0
3.4,rnn_gb,34,62.0
3.4,rnn_gb,35,64.0
3.4,rnn_gb,36,61.0
3.4,rnn_gb,37,62.0
3.4,rnn_gb,38,63.0
3.4,rnn_gb,39,62.0
3.4,rnn_sb,30,64.0
3.4,rnn_sb,31,63.0
3.4,rnn_sb,32,63.0
3.4,rnn_sb,33,60.0
3.4,rnn_sb,34,62.0
3.4,rnn_sb,35,63.0
3.4,rnn_sb,36,62.0
3.4,rnn_sb,37,63.0
3.4,rnn_sb,38,62.0
3.4,rnn_sb,39,64.0
3.6,minisat,40,72.0
3.6,minisat,41,72.0
3.6,minisat,42,72.0
3.6,minisat,43,72.0
3.6,minisat,44,72.0
3.6,minisat,45,72.0
3.6,minisat,46,72.0
3.6,minisat,47,72.0
3.6,minisat,48,72.0
3.6,minisat,49,0.0
3.6,random,40,62.0
3.6,random,41,64.0
3.6,random,42,58.0
3.6,random,43,55.0
3.6,random,44,64.0
3.6,random,45,64.0
3.6,random,46,60.0
3.6,random,47,66.0
3.6,random,48,64.0
3.6,random,49,63.0
3.6,rnn,40,60.0
3.6,rnn,41,59.0
3.6,rnn,42,63.0
3.6,rnn,43,62.0
3.6,rnn,44,66.0
3.6,rnn,45,62.0
3.6,rnn,46,62.0
3.6,rnn,47,67.0
3.6,rnn,48,60.0
3.6,rnn,49,58.0
3.6,rnn_gb,40,63.0
3.6,rnn_gb,41,64.0
3.6,rnn_gb,42,67.0
3.6,rnn_gb,43,65.0
3.6,rnn_gb,44,69.0
3.6,rnn_gb,45,67.0
3.6,rnn_gb,46,65.0
3.6,rnn_gb,47,69.0
3.6,rnn_gb,48,65.0
3.6,rnn_gb,49,58.0
3.6,rnn_sb,40,69.0
3.6,rnn_sb,41,64.0
3.6,rnn_sb,42,67.0
3.6,rnn_sb,43,65.0
3.6,rnn_sb,44,68.0
3.6,rnn_sb,45,67.0
3.6,rnn_sb,46,65.0
3.6,rnn_sb,47,69.0
3.6,rnn_sb,48,65.0
3.6,rnn_sb,49,64.0
3.8,minisat,50,76.0
3.8,minisat,51,76.0
3.8,minisat,52,76.0
3.8,minisat,53,76.0
3.8,minisat,54,76.0
3.8,minisat,55,0.0
3.8,minisat,56,76.0
3.8,minisat,57,76.0
3.8,minisat,58,76.0
3.8,minisat,59,76.0
3.8,random,50,70.0
3.8,random,51,71.0
3.8,random,52,64.0
3.8,random,53,66.0
3.8,random,54,70.0
3.8,random,55,67.0
3.8,random,56,61.0
3.8,random,57,63.0
3.8,random,58,66.0
3.8,random,59,66.0
3.8,rnn,50,62.0
3.8,rnn,51,69.0
3.8,rnn,52,64.0
3.8,rnn,53,66.0
3.8,rnn,54,64.0
3.8,rnn,55,72.0
3.8,rnn,56,64.0
3.8,rnn,57,66.0
3.8,rnn,58,71.0
3.8,rnn,59,67.0
3.8,rnn_gb,50,68.0
3.8,rnn_gb,51,69.0
3.8,rnn_gb,52,69.0
3.8,rnn_gb,53,70.0
3.8,rnn_gb,54,67.0
3.8,rnn_gb,55,72.0
3.8,rnn_gb,56,68.0
3.8,rnn_gb,57,71.0
3.8,rnn_gb,58,73.0
3.8,rnn_gb,59,71.0
3.8,rnn_sb,50,72.0
3.8,rnn_sb,51,69.0
3.8,rnn_sb,52,58.0
3.8,rnn_sb,53,69.0
3.8,rnn_sb,54,64.0
3.8,rnn_sb,55,70.0
3.8,rnn_sb,56,67.0
3.8,rnn_sb,57,71.0
3.8,rnn_sb,58,73.0
3.8,rnn_sb,59,71.0
4.0,minisat,60,80.0
4.0,minisat,61,0.0
4.0,minisat,62,80.0
4.0,minisat,63,80.0
4.0,minisat,64,80.0
4.0,minisat,65,80.0
4.0,minisat,66,80.0
4.0,minisat,67,80.0
4.0,minisat,68,80.0
4.0,minisat,69,80.0
4.0,random,60,67.0
4.0,random,61,69.0
4.0,random,62,73.0
4.0,random,63,76.0
4.0,random,64,68.0
4.0,random,65,71.0
4.0,random,66,70.0
4.0,random,67,71.0
4.0,random,68,71.0
4.0,random,69,71.0
4.0,rnn,60,71.0
4.0,rnn,61,74.0
4.0,rnn,62,68.0
4.0,rnn,63,73.0
4.0,rnn,64,76.0
4.0,rnn,65,70.0
4.0,rnn,66,70.0
4.0,rnn,67,75.0
4.0,rnn,68,73.0
4.0,rnn,69,66.0
4.0,rnn_gb,60,75.0
4.0,rnn_gb,61,74.0
4.0,rnn_gb,62,68.0
4.0,rnn_gb,63,73.0
4.0,rnn_gb,64,76.0
4.0,rnn_gb,65,74.0
4.0,rnn_gb,66,72.0
4.0,rnn_gb,67,75.0
4.0,rnn_gb,68,75.0
4.0,rnn_gb,69,74.0
4.0,rnn_sb,60,73.0
4.0,rnn_sb,61,74.0
4.0,rnn_sb,62,71.0
4.0,rnn_sb,63,71.0
4.0,rnn_sb,64,76.0
4.0,rnn_sb,65,74.0
4.0,rnn_sb,66,70.0
4.0,rnn_sb,67,75.0
4.0,rnn_sb,68,75.0
4.0,rnn_sb,69,75.0
4.2,minisat,70,84.0
4.2,minisat,71,84.0
4.2,minisat,72,84.0
4.2,minisat,73,84.0
4.2,minisat,74,84.0
4.2,minisat,75,84.0
4.2,minisat,76,84.0
4.2,minisat,77,84.0
4.2,minisat,78,84.0
4.2,minisat,79,84.0
4.2,random,70,68.0
4.2,random,71,74.0
4.2,random,72,76.0
4.2,random,73,79.0
4.2,random,74,69.0
4.2,random,75,79.0
4.2,random,76,70.0
4.2,random,77,72.0
4.2,random,78,76.0
4.2,random,79,72.0
4.2,rnn,70,78.0
4.2,rnn,71,68.0
4.2,rnn,72,77.0
4.2,rnn,73,73.0
4.2,rnn,74,74.0
4.2,rnn,75,79.0
4.2,rnn,76,70.0
4.2,rnn,77,71.0
4.2,rnn,78,70.0
4.2,rnn,79,66.0
4.2,rnn_gb,70,81.0
4.2,rnn_gb,71,79.0
4.2,rnn_gb,72,80.0
4.2,rnn_gb,73,79.0
4.2,rnn_gb,74,80.0
4.2,rnn_gb,75,78.0
4.2,rnn_gb,76,81.0
4.2,rnn_gb,77,77.0
4.2,rnn_gb,78,72.0
4.2,rnn_gb,79,81.0
4.2,rnn_sb,70,81.0
4.2,rnn_sb,71,73.0
4.2,rnn_sb,72,69.0
4.2,rnn_sb,73,79.0
4.2,rnn_sb,74,77.0
4.2,rnn_sb,75,79.0
4.2,rnn_sb,76,80.0
4.2,rnn_sb,77,74.0
4.2,rnn_sb,78,72.0
4.2,rnn_sb,79,76.0
4.4,minisat,80,88.0
4.4,minisat,81,88.0
4.4,minisat,82,0.0
4.4,minisat,83,88.0
4.4,minisat,84,88.0
4.4,minisat,85,0.0
4.4,minisat,86,88.0
4.4,minisat,87,0.0
4.4,minisat,88,88.0
4.4,minisat,89,88.0
4.4,random,80,78.0
4.4,random,81,75.0
4.4,random,82,78.0
4.4,random,83,76.0
4.4,random,84,70.0
4.4,random,85,79.0
4.4,random,86,75.0
4.4,random,87,76.0
4.4,random,88,77.0
4.4,random,89,77.0
4.4,rnn,80,75.0
4.4,rnn,81,82.0
4.4,rnn,82,74.0
4.4,rnn,83,77.0
4.4,rnn,84,76.0
4.4,rnn,85,80.0
4.4,rnn,86,76.0
4.4,rnn,87,79.0
4.4,rnn,88,80.0
4.4,rnn,89,79.0
4.4,rnn_gb,80,75.0
4.4,rnn_gb,81,81.0
4.4,rnn_gb,82,78.0
4.4,rnn_gb,83,77.0
4.4,rnn_gb,84,83.0
4.4,rnn_gb,85,83.0
4.4,rnn_gb,86,82.0
4.4,rnn_gb,87,83.0
4.4,rnn_gb,88,80.0
4.4,rnn_gb,89,79.0
4.4,rnn_sb,80,83.0
4.4,rnn_sb,81,81.0
4.4,rnn_sb,82,81.0
4.4,rnn_sb,83,77.0
4.4,rnn_sb,84,80.0
4.4,rnn_sb,85,83.0
4.4,rnn_sb,86,78.0
4.4,rnn_sb,87,82.0
4.4,rnn_sb,88,80.0
4.4,rnn_sb,89,79.0
4.6,minisat,90,0.0
4.6,minisat,91,0.0
4.6,minisat,92,92.0
4.6,minisat,93,92.0
4.6,minisat,94,0.0
4.6,minisat,95,0.0
4.6,minisat,96,92.0
4.6,minisat,97,0.0
4.6,minisat,98,92.0
4.6,minisat,99,92.0
4.6,random,90,80.0
4.6,random,91,81.0
4.6,random,92,81.0
4.6,random,93,79.0
4.6,random,94,78.0
4.6,random,95,78.0
4.6,random,96,82.0
4.6,random,97,83.0
4.6,random,98,83.0
4.6,random,99,81.0
4.6,rnn,90,79.0
4.6,rnn,91,83.0
4.6,rnn,92,86.0
4.6,rnn,93,80.0
4.6,rnn,94,80.0
4.6,rnn,95,78.0
4.6,rnn,96,82.0
4.6,rnn,97,82.0
4.6,rnn,98,84.0
4.6,rnn,99,77.0
4.6,rnn_gb,90,85.0
4.6,rnn_gb,91,85.0
4.6,rnn_gb,92,86.0
4.6,rnn_gb,93,88.0
4.6,rnn_gb,94,84.0
4.6,rnn_gb,95,80.0
4.6,rnn_gb,96,84.0
4.6,rnn_gb,97,84.0
4.6,rnn_gb,98,84.0
4.6,rnn_gb,99,84.0
4.6,rnn_sb,90,85.0
4.6,rnn_sb,91,87.0
4.6,rnn_sb,92,86.0
4.6,rnn_sb,93,88.0
4.6,rnn_sb,94,84.0
4.6,rnn_sb,95,82.0
4.6,rnn_sb,96,82.0
4.6,rnn_sb,97,86.0
4.6,rnn_sb,98,84.0
4.6,rnn_sb,99,84.0
